;Question;Answer;BT_Level
173;in what year did the opening of a theology library at notre dame occur ?;a theology library was also opened in fall of 2015 .;Knowledge
174;where is the theology library at notre dame ?;located on the first floor of stanford hall , it is the first branch of the library system to be housed in a dorm room .;Knowledge
175;how many books are held by the notre dame libraries ?;the library system holds over three million volumes , was the single largest university library in the world upon its completion , and remains one of the 100 largest libraries in the country .;Knowledge
176;currently where does notre dame 's library rank in the nation ?;the library system holds over three million volumes , was the single largest university library in the world upon its completion , and remains one of the 100 largest libraries in the country .;Evaluation
177;what caused many intellectual catholics to leave europe in the 1930s ?;"the rise of hitler and other dictators in the 1930s forced numerous catholic intellectuals to flee europe ; president john o'hara brought many to notre dame .";Knowledge
178;from where did anton-hermann chroust come to reach notre dame ?;from germany came anton-hermann chroust ( 1907 -- 1982 ) in classics and law , and waldemar gurian a german catholic intellectual of jewish descent .;Knowledge
179;what field of study did anton-hermann chroust specialize in ?;from germany came anton-hermann chroust ( 1907 -- 1982 ) in classics and law , and waldemar gurian a german catholic intellectual of jewish descent .;Knowledge
180;who did waldemar gurian receive his tutelage under while seeking his doctorate ?;positivism dominated american intellectual life in the 1920s onward but in marked contrast , gurian received a german catholic education and wrote his doctoral dissertation under max scheler .;Knowledge
181;what was ivan meštrović known for being ?;ivan meštrović ( 1883 -- 1962 ) , a renowned sculptor , brought croatian culture to campus , 1955 -- 62 .;Application
182;the school known as notre dame is known by a more lengthy name , what is it ?;the university of notre dame du lac ( or simply notre dame / ˌnoʊtərˈdeɪm / noh-tər-daym ) is a catholic research university located adjacent to south bend , indiana , in the united states .;Knowledge
183;what type of institution is the notre dame ?;the university of notre dame du lac ( or simply notre dame / ˌnoʊtərˈdeɪm / noh-tər-daym ) is a catholic research university located adjacent to south bend , indiana , in the united states .;Knowledge
